Occupation ,Total Employed,Women,White,Black,Asian,Hispanic
"Management, professional, and related occupations","60,901",51.6,80,9.4,8.1,9.6
"Management, business, and financial operations occupations","25,379",44,83,8.2,6.4,10
Management occupations,"17,804",39.8,84,7.6,5.9,9.9
Chief executives,"1,639",28,90,3.8,4.6,4.7
General and operations managers,"1,005",34.1,85,8.3,4.5,11.4
Legislators,18,-,-,-,-,-
Advertising and promotions managers,61,52.7,84.5,8,7.5,7.4
Marketing and sales managers,"1,078",45.3,86.4,6,6.1,10.2
Public relations and fundraising managers,73,63.5,87.9,7.8,3.2,3.7
Administrative services managers,151,40.1,83.5,9.4,3.2,10.3
Computer and information systems managers,630,28.6,78,6.6,13,6.6
Financial managers,"1,167",55.7,83.5,6.7,8.2,11.2
Compensation and benefits managers,16,-,-,-,-,-
Human resources managers,327,70.8,81.7,12.3,4.3,7.9
Training and development managers,63,59.8,89.2,5.6,2.2,9
Industrial production managers,280,25.7,89.5,3.8,5.9,9.3
Purchasing managers,205,52.3,84.3,10.6,3.3,9.1
"Transportation, storage, and distribution managers",291,19.2,79.7,10.7,5.3,13.8
"Farmers, ranchers, and other agricultural managers","1,018",25.2,95.4,0.8,1.4,6.1
Construction managers,"1,081",7.4,90.2,4.9,2.3,12.4
Education administrators,918,64.2,81.8,12.9,2.1,10.3
Architectural and engineering managers,129,8.7,79.7,8.3,11.2,6.2
Food service managers,"1,210",46.3,74.7,9.5,11.7,16.9
Funeral service managers,15,-,-,-,-,-
Gaming managers,19,-,-,-,-,-
Lodging managers,156,48.8,72.9,11.2,12.5,12
Medical and health services managers,671,69.8,77.9,14,5.7,9.1
Natural sciences managers,16,-,-,-,-,-
Postmasters and mail superintendents,27,-,-,-,-,-
"Property, real estate, and community association managers",743,48.6,81.8,11.6,3.5,14.4
Social and community service managers,390,70.2,78.1,13.7,4,8.6
Emergency management directors,11,-,-,-,-,-
"Managers, all other","4,398",35.8,83.2,7.4,7,9.4
Business and financial operations occupations,"7,574",54,80.7,9.4,7.5,10.2
"Agents and business managers of artists, performers, and athletes",50,44.4,77.3,15.9,6.1,4
"Buyers and purchasing agents, farm products",11,-,-,-,-,-
"Wholesale and retail buyers, except farm products",194,55.8,84.2,7.7,6.2,9
"Purchasing agents, except wholesale, retail, and farm products",270,44.1,82.7,9.4,6.1,11.9
"Claims adjusters, appraisers, examiners, and investigators",350,61.7,77,18.2,3,11.4
Compliance officers,260,57.6,80.1,11.9,5.9,9
Cost estimators,118,12.9,94.4,3.1,2.2,8.5
Human resources workers,736,72.1,80.2,11.8,5.7,13.8
"Compensation, benefits, and job analysis specialists",59,72.3,72.2,21.5,2.3,15.7
Training and development specialists,133,47.1,81.6,12.4,1.1,18.2
Logisticians,112,34.8,70.9,17.1,7.4,11.7
Management analysts,937,42.3,77.2,9.1,11.2,7.4
"Meeting, convention, and event planners",137,85.1,91.6,4.7,1.4,9
Fundraisers,84,77.3,88.4,8.8,0.2,2.6
Market research analysts and marketing specialists,344,60.8,84.2,5.4,7.7,9
"Business operations specialists, all other",273,52.5,79.2,9.1,9.3,13.6
Accountants and auditors,"1,804",60.3,79.5,8.2,9.7,9.6
Appraisers and assessors of real estate,97,37.4,88.8,9,1.8,11
Budget analysts,53,46.8,71.1,12.5,9.7,11.1
Credit analysts,29,-,-,-,-,-
Financial analysts,309,36.5,75.6,8.8,12.5,6.9
Personal financial advisors,525,32,87,4.8,6.6,8.3
Insurance underwriters,104,63.8,85.5,8.8,5.4,8.1
Financial examiners,15,-,-,-,-,-
Credit counselors and loan officers,353,56.5,83.8,8.5,4.2,14.2
"Tax examiners and collectors, and revenue agents",65,58.4,77.2,11.1,9.8,14.8
Tax preparers,107,63.1,78.3,17.2,4,14.9
"Financial specialists, all other",45,-,-,-,-,-
Professional and related occupations,"35,522",57,77.9,10.3,9.3,9.3
Computer and mathematical occupations,"4,804",25.5,67.8,8.7,20.8,7.3
Computer and information research scientists,24,-,-,-,-,-
Computer systems analysts,554,38.9,70.9,9.7,16.6,7.2
Information security analysts,105,20.2,68.5,15.6,12.6,4.6
Computer programmers,473,21.2,65.9,7.1,25.4,5.3
"Software developers, applications and systems software","1,536",18.7,59.3,5.6,32.4,6.2
Web developers,204,32.3,82,4.5,9.8,5.8
Computer support specialists,532,27.1,70.7,14.6,11.3,10.3
Database administrators,96,40.6,70.6,10.1,18.1,6.2
Network and computer systems administrators,210,23.5,79.5,6.3,11.8,10.9
Computer network architects,106,4.2,73.1,10.6,15.2,3.1
"Computer occupations, all other",693,22.6,73.5,11.4,11.9,9.7
Actuaries,29,-,-,-,-,-
Mathematicians,3,-,-,-,-,-
Operations research analysts,147,51.5,70.9,12.4,15.3,7.3
Statisticians,87,48.8,63.1,9,22.4,6.4
Miscellaneous mathematical science occupations,3,-,-,-,-,-
Architecture and engineering occupations,"3,224",16.2,79.3,5.6,12.7,8.7
"Architects, except naval",253,28.6,82.5,2.1,14,7.7
"Surveyors, cartographers, and photogrammetrists",43,-,-,-,-,-
Aerospace engineers,148,8.9,79.1,8.1,11.4,5.5
Agricultural engineers,2,-,-,-,-,-
Biomedical engineers,17,-,-,-,-,-
Chemical engineers,77,16.9,91,1.7,7,4.1
Civil engineers,461,14.4,82.5,6.4,7.1,10.7
Computer hardware engineers,80,17.2,55.4,5.8,38.3,7.8
Electrical and electronics engineers,284,12.3,74.6,3.5,19.5,9
Environmental engineers,38,-,-,-,-,-
"Industrial engineers, including health and safety",221,22.6,80.8,5.3,11.6,6.2
Marine engineers and naval architects,12,-,-,-,-,-
Materials engineers,32,-,-,-,-,-
Mechanical engineers,344,9.2,84.2,3.6,11.1,6
"Mining and geological engineers, including mining safety engineers",11,-,-,-,-,-
Nuclear engineers,8,-,-,-,-,-
Petroleum engineers,24,-,-,-,-,-
"Engineers, all other",582,14.1,73.1,6.9,17.8,9.4
Drafters,137,20.8,89.9,6.2,2.4,16.5
"Engineering technicians, except drafters",375,20,76.9,8.9,10.7,10.3
Surveying and mapping technicians,73,4.6,90.3,2.1,1.7,10.1
"Life, physical, and social science occupations","1,431",47.4,76.4,5.7,15.8,9
Agricultural and food scientists,32,-,-,-,-,-
Biological scientists,98,54.4,81.2,3.1,13.1,7.9
Conservation scientists and foresters,29,-,-,-,-,-
Medical scientists,161,52.1,66.4,6.6,26.2,6.7
"Life scientists, all other",3,-,-,-,-,-
Astronomers and physicists,18,-,-,-,-,-
Atmospheric and space scientists,7,-,-,-,-,-
Chemists and materials scientists,105,38.3,66.7,11.3,20.8,5.9
Environmental scientists and geoscientists,84,35.8,90.8,5,0.7,4.8
"Physical scientists, all other",301,47.3,61.2,4,32.1,7.9
Economists,28,-,-,-,-,-
Survey researchers,3,-,-,-,-,-
Psychologists,187,68.9,89.5,6.5,3.6,8.5
Sociologists,2,-,-,-,-,-
Urban and regional planners,32,-,-,-,-,-
Miscellaneous social scientists and related workers,41,-,-,-,-,-
Agricultural and food science technicians,32,-,-,-,-,-
Biological technicians,23,-,-,-,-,-
Chemical technicians,57,27.4,79.8,7.3,7.8,14.3
Geological and petroleum technicians,13,-,-,-,-,-
Nuclear technicians,7,-,-,-,-,-
Social science research assistants,4,-,-,-,-,-
"Miscellaneous life, physical, and social science technicians",164,47.7,80.2,5.7,11.8,13.4
Community and social service occupations,"2,635",66.1,73.1,19.9,3.8,12.4
Counselors,853,72.3,72.3,21.4,2.9,13
Social workers,802,82.5,69.5,23.5,4,14
Probation officers and correctional treatment specialists,99,63.5,63.8,26.7,5.3,11.1
Social and human service assistants,232,75.3,68.4,22.8,3.1,19
"Miscellaneous community and social service specialists, including",76,74.8,68.9,19.6,7,17.3
health educators and community health workers,,,,,,
Clergy,406,17,81.3,12.1,4.6,6.1
"Directors, religious activities and education",81,54.1,88.9,7.1,3.6,6
"Religious workers, all other",85,65.3,86.7,5,5.2,5
Legal occupations,"1,827",52.8,86.6,6.9,4.3,8.6
Lawyers,"1,137",37.4,88.6,5.6,4.4,4.8
Judicial law clerks,14,-,-,-,-,-
"Judges, magistrates, and other judicial workers",66,28.1,87.3,12.7,0,7
Paralegals and legal assistants,424,86.3,82.9,7.7,4.8,17.5
Miscellaneous legal support workers,186,80.2,83.7,10.8,3,12.9
"Education, training, and library occupations","9,215",73,82,10.7,4.9,10.5
Postsecondary teachers,"1,423",47,77.7,8.4,11.7,6.4
Preschool and kindergarten teachers,712,97.7,77.1,16.2,3.4,14.1
Elementary and middle school teachers,"3,268",79.3,85.2,10.1,2.9,10.1
Secondary school teachers,"1,039",58.5,86.2,8.6,2.8,9.4
Special education teachers,422,85.6,86.2,10,2.4,7.9
Other teachers and instructors,907,65.4,78.8,11.1,6.3,11.9
"Archivists, curators, and museum technicians",59,61.4,80.2,6.4,7.8,1.7
Librarians,194,79.5,86.3,6.4,5.2,10.4
Library technicians,40,-,-,-,-,-
Teacher assistants,989,88.5,78,14.6,4.2,17.3
"Other education, training, and library workers",161,67.7,78.5,12.6,5.3,6
"Arts, design, entertainment, sports, and media occupations","3,246",46.9,83.9,7.3,5.3,10.2
Artists and related workers,236,51.9,89.6,3.5,4.5,10.8
Designers,908,52.8,84.2,5.1,7.6,12
Actors,40,-,-,-,-,-
Producers and directors,180,29.8,87.8,5.2,4.6,8.9
"Athletes, coaches, umpires, and related workers",345,36.4,88.2,5,3,8.5
Dancers and choreographers,21,-,-,-,-,-
"Musicians, singers, and related workers",188,37.7,75.6,17.3,4.3,6.7
"Entertainers and performers, sports and related workers, all other",67,48.1,74.1,9.2,9.9,7.5
Announcers,50,23.1,77.5,12,7.1,8.5
